,95th_latency,avg_latency,client,client_sched,clients,duration,engine,engine_sched,file,kernel,machine,max_latency,min_latency,throughput
18,11.04,9.64,sysbench 1.1.0,cfs_wwc scheduling policy,64,300.0212,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/Nj2oFCSA9CvngQ,4.19.0-ipanema-g8cd6f0a04f0c,i80,202.69,5.52,6636.0782
19,8.43,7.37,sysbench 1.1.0,cfs_wwc scheduling policy,32,300.0103,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/1sJEgZ2xlKtghG,4.19.0-ipanema-g8cd6f0a04f0c,i80,81.82,5.39,4339.581
20,8.43,7.35,sysbench 1.1.0,cfs_wwc scheduling policy,32,300.011,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/CHG30fTnPuFhaN,4.19.0-ipanema-g8cd6f0a04f0c,i80,127.34,5.4,4353.8601
21,20.37,16.64,sysbench 1.1.0,cfs_wwc scheduling policy,128,300.0388,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/o1h5QPecRd0jN9,4.19.0-ipanema-g8cd6f0a04f0c,i80,325.73,5.55,7688.7156
22,8.28,7.31,sysbench 1.1.0,cfs_wwc scheduling policy,32,300.0108,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/n6qoAsvIxY1WNf,4.19.0-ipanema-g8cd6f0a04f0c,i80,132.47,5.25,4374.8431
23,10.84,9.54,sysbench 1.1.0,cfs_wwc scheduling policy,64,300.0224,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/zQGyBfMiLOBXDa,4.19.0-ipanema-g8cd6f0a04f0c,i80,184.58,5.39,6706.0584
24,8.58,7.48,sysbench 1.1.0,cfs_wwc scheduling policy,32,300.0105,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/HpBLiSYFSy9Il0,4.19.0-ipanema-g8cd6f0a04f0c,i80,146.64,5.5,4278.4639
25,10.84,9.57,sysbench 1.1.0,cfs_wwc scheduling policy,64,300.0224,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/BixbZ1HBApIosj,4.19.0-ipanema-g8cd6f0a04f0c,i80,202.17,5.38,6688.948
26,20.74,17.15,sysbench 1.1.0,cfs_wwc scheduling policy,128,300.0456,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/NuBdRzf9rEnBKZ,4.19.0-ipanema-g8cd6f0a04f0c,i80,309.13,5.81,7460.925
27,40.37,31.43,sysbench 1.1.0,cfs_wwc scheduling policy,256,300.1129,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/XoUOnTaKrp7dwX,4.19.0-ipanema-g8cd6f0a04f0c,i80,1459.16,5.4,8141.8898
28,11.45,9.72,sysbench 1.1.0,Linux,64,300.0229,mongo v4.1.8,Linux,/home/dc/storage/i80/mongo/r4.1.8/dd5741cfc1f16af6e96bf1394e144bbc/data/QGonjVhGLoRqxz,4.19.0-ipanema-g8cd6f0a04f0c,i80,94.87,5.26,6581.0469
29,22.69,17.31,sysbench 1.1.0,Linux,128,300.0421,mongo v4.1.8,Linux,/home/dc/storage/i80/mongo/r4.1.8/dd5741cfc1f16af6e96bf1394e144bbc/data/PmCV61ubsCTIWi,4.19.0-ipanema-g8cd6f0a04f0c,i80,160.24,5.46,7392.2827
30,48.34,34.04,sysbench 1.1.0,Linux,256,300.1032,mongo v4.1.8,Linux,/home/dc/storage/i80/mongo/r4.1.8/dd5741cfc1f16af6e96bf1394e144bbc/data/usUDDtQakluRBZ,4.19.0-ipanema-g8cd6f0a04f0c,i80,1122.66,6.81,7517.5194
31,50.11,33.79,sysbench 1.1.0,Linux,256,300.1085,mongo v4.1.8,Linux,/home/dc/storage/i80/mongo/r4.1.8/dd5741cfc1f16af6e96bf1394e144bbc/data/vORLCUo9DVdOUg,4.19.0-ipanema-g8cd6f0a04f0c,i80,1149.77,7.48,7572.9777
32,7.56,6.83,sysbench 1.1.0,Linux,32,300.0149,mongo v4.1.8,Linux,/home/dc/storage/i80/mongo/r4.1.8/dd5741cfc1f16af6e96bf1394e144bbc/data/Xqlf8qclC8JNA1,4.19.0-ipanema-g8cd6f0a04f0c,i80,68.7,5.03,4680.4276
33,47.47,33.52,sysbench 1.1.0,Linux,256,300.1029,mongo v4.1.8,Linux,/home/dc/storage/i80/mongo/r4.1.8/dd5741cfc1f16af6e96bf1394e144bbc/data/KV03KdfbymcQW9,4.19.0-ipanema-g8cd6f0a04f0c,i80,1154.53,7.52,7633.3628
34,7.43,6.86,sysbench 1.1.0,Linux,32,300.0134,mongo v4.1.8,Linux,/home/dc/storage/i80/mongo/r4.1.8/dd5741cfc1f16af6e96bf1394e144bbc/data/f93B6G3pWUDEbI,4.19.0-ipanema-g8cd6f0a04f0c,i80,68.07,5.12,4660.269
35,23.1,17.28,sysbench 1.1.0,Linux,128,300.0438,mongo v4.1.8,Linux,/home/dc/storage/i80/mongo/r4.1.8/dd5741cfc1f16af6e96bf1394e144bbc/data/HIPkIxhAWEBJKG,4.19.0-ipanema-g8cd6f0a04f0c,i80,130.69,5.5,7403.4987
36,47.47,32.24,sysbench 1.1.0,Linux,256,300.0992,mongo v4.1.8,Linux,/home/dc/storage/i80/mongo/r4.1.8/dd5741cfc1f16af6e96bf1394e144bbc/data/5DUMPFzyYE06Bj,4.19.0-ipanema-g8cd6f0a04f0c,i80,1133.24,7.83,7936.5664
37,11.87,9.99,sysbench 1.1.0,Linux,64,300.025,mongo v4.1.8,Linux,/home/dc/storage/i80/mongo/r4.1.8/dd5741cfc1f16af6e96bf1394e144bbc/data/nbN2Sgf44XQwn5,4.19.0-ipanema-g8cd6f0a04f0c,i80,78.54,5.34,6401.8706
38,23.52,16.73,sysbench 1.1.0,Linux,128,300.0457,mongo v4.1.8,Linux,/home/dc/storage/i80/mongo/r4.1.8/dd5741cfc1f16af6e96bf1394e144bbc/data/luAbdvuAg9vu09,4.19.0-ipanema-g8cd6f0a04f0c,i80,164.1,5.68,7648.722
39,23.1,17.14,sysbench 1.1.0,Linux,128,300.0421,mongo v4.1.8,Linux,/home/dc/storage/i80/mongo/r4.1.8/dd5741cfc1f16af6e96bf1394e144bbc/data/ze5ubWrGBrcdvR,4.19.0-ipanema-g8cd6f0a04f0c,i80,147.27,5.61,7463.9361
40,23.95,17.23,sysbench 1.1.0,Linux,128,300.044,mongo v4.1.8,Linux,/home/dc/storage/i80/mongo/r4.1.8/dd5741cfc1f16af6e96bf1394e144bbc/data/8yRSFW5Y4nQ9kx,4.19.0-ipanema-g8cd6f0a04f0c,i80,143.54,5.67,7425.5133
41,22.69,17.33,sysbench 1.1.0,Linux,128,300.0445,mongo v4.1.8,Linux,/home/dc/storage/i80/mongo/r4.1.8/dd5741cfc1f16af6e96bf1394e144bbc/data/xhks1spnwWDS2C,4.19.0-ipanema-g8cd6f0a04f0c,i80,133.05,5.57,7383.7353
42,12.52,10.48,sysbench 1.1.0,Linux,64,300.025,mongo v4.1.8,Linux,/home/dc/storage/i80/mongo/r4.1.8/dd5741cfc1f16af6e96bf1394e144bbc/data/dGOooXpHHyA4ot,4.19.0-ipanema-g8cd6f0a04f0c,i80,77.9,5.16,6105.1039
