,Unnamed: 0,avg_latency,client,client_sched,clients,duration,engine,engine_sched,events,file,kernel,machine,max_latency,min_latency,p95th_latency,st_ctime,sum_latency,throughput
355,355,9.68,sysbench 1.1.0,cfs_wwc scheduling policy,64,300.0156,mongo v4.1.8,cfs_wwc scheduling policy,1982047,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/VzLLzQaTTKU59j,4.19.0-ipanema-gab29e103e36b,i44,2653.37,4.93,12.08,1553199164.3407805,19195581.24,6606.4804
356,356,48.36,sysbench 1.1.0,cfs_wwc scheduling policy,400,300.102,mongo v4.1.8,cfs_wwc scheduling policy,2481241,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/A78HTfiIr2Klct,4.19.0-ipanema-gab29e103e36b,i44,26583.9,5.56,63.32,1553224840.479117,119996549.53,8267.9911
357,357,6.41,sysbench 1.1.0,cfs_wwc scheduling policy,32,300.0078,mongo v4.1.8,cfs_wwc scheduling policy,1498148,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/WEISmKydoiL0O9,4.19.0-ipanema-gab29e103e36b,i44,854.18,4.96,7.43,1553199164.3407805,9597373.48,4993.697
358,358,6.8,sysbench 1.1.0,Linux,32,300.0085,mongo v4.1.8,Linux,1412180,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/CvTOra7y2KBMWV,4.19.0-ipanema-g9ba5ed25b696,i44,62.86,5.34,7.84,1552446822.4308875,9597471.24,4707.1338
359,359,15.66,sysbench 1.1.0,Linux,128,300.0386,mongo v4.1.8,Linux,2451691,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/WJNOsBrOe62p1X,4.19.0-ipanema-g9ba5ed25b696,i44,149.56,5.83,23.1,1552446822.4348874,38393887.2,8171.2531
360,360,32.25,sysbench 1.1.0,Linux,256,300.0617,mongo v4.1.8,Linux,2381143,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/KkeTNReJk4oqrM,4.19.0-ipanema-g9ba5ed25b696,i44,1108.19,6.93,43.39,1552508246.1969194,76794060.28,7935.51
361,361,15.89,sysbench 1.1.0,Linux,128,300.0345,mongo v4.1.8,Linux,2416613,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/l4myPC3YUIxvKL,4.19.0-ipanema-g9ba5ed25b696,i44,158.52,5.68,23.52,1552556838.747652,38393918.06,8054.4503
362,362,33.11,sysbench 1.1.0,Linux,256,300.0742,mongo v4.1.8,Linux,2319179,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/s6cN4H9t1u8UD7,4.19.0-ipanema-g9ba5ed25b696,i44,1128.55,8.18,44.17,1552428971.570041,76795429.93,7728.6846
363,363,54.43,sysbench 1.1.0,Linux,400,300.1003,mongo v4.1.8,Linux,2204466,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/CfYnpwGLjMIqH2,4.19.0-ipanema-g9ba5ed25b696,i44,1827.95,7.13,65.65,1552532559.5937743,119999900.33,7345.7644
364,364,34.22,sysbench 1.1.0,Linux,256,300.0605,mongo v4.1.8,Linux,2243887,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/Jx4DWEYsHAvLOO,4.19.0-ipanema-g9ba5ed25b696,i44,1143.06,7.39,44.98,1552446822.4308875,76794521.3,7478.114
365,365,15.49,sysbench 1.1.0,Linux,128,300.0352,mongo v4.1.8,Linux,2478828,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/TbA7fA4XIBtZL4,4.19.0-ipanema-g9ba5ed25b696,i44,135.72,5.63,23.1,1552428971.5660408,38393526.12,8261.7903
366,366,6.9,sysbench 1.1.0,Linux,32,300.0082,mongo v4.1.8,Linux,1391670,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/ISHaSgIFF089qE,4.19.0-ipanema-g9ba5ed25b696,i44,67.97,5.44,7.98,1552532559.5937743,9597519.19,4638.7728
367,367,6.89,sysbench 1.1.0,Linux,32,300.0087,mongo v4.1.8,Linux,1393944,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/OwYmMNoOpS4CjG,4.19.0-ipanema-g9ba5ed25b696,i44,69.19,5.41,7.84,1552508246.2009196,9597439.97,4646.3452
368,368,9.56,sysbench 1.1.0,Linux,64,300.0169,mongo v4.1.8,Linux,2007476,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/Anv0Ej1ql5Sr7l,4.19.0-ipanema-g9ba5ed25b696,i44,98.58,5.5,10.84,1552532559.5897744,19195495.83,6691.2092
