,95th_latency,avg_latency,client,client_sched,clients,duration,engine,engine_sched,file,kernel,machine,max_latency,min_latency,throughput
0,41.1,32.43,sysbench 1.1.0,ULE-WWC scheduling policy,256,300.0832,mongo v3.6.3,ULE-WWC scheduling policy,/home/dc/i44/mongo/storage/169d64ecf26f618b5ca72e2f82bdeb61/data/ctl0N3sTuaQEXP,4.19.0-ipanema-g9ba5ed25b696,i44,2807.77,6.17,7892.2018
1,20.74,15.94,sysbench 1.1.0,ULE-WWC scheduling policy,128,300.0429,mongo v3.6.3,ULE-WWC scheduling policy,/home/dc/i44/mongo/storage/169d64ecf26f618b5ca72e2f82bdeb61/data/2G0EeaPIwfyA6A,4.19.0-ipanema-g9ba5ed25b696,i44,300.46,5.15,8026.9613
2,10.46,9.09,sysbench 1.1.0,ULE-WWC scheduling policy,64,300.0542,mongo v3.6.3,ULE-WWC scheduling policy,/home/dc/i44/mongo/storage/169d64ecf26f618b5ca72e2f82bdeb61/data/yBZltGP8dVGqPN,4.19.0-ipanema-g9ba5ed25b696,i44,142.43,5.06,7041.0402
3,10.65,9.16,sysbench 1.1.0,ULE-WWC scheduling policy,64,300.0163,mongo v3.6.3,ULE-WWC scheduling policy,/home/dc/i44/mongo/storage/169d64ecf26f618b5ca72e2f82bdeb61/data/wuEdOF7Lz9H3D7,4.19.0-ipanema-g9ba5ed25b696,i44,191.31,4.89,6984.9996
4,22.69,16.54,sysbench 1.1.0,ULE-WWC scheduling policy,128,300.0411,mongo v3.6.3,ULE-WWC scheduling policy,/home/dc/i44/mongo/storage/169d64ecf26f618b5ca72e2f82bdeb61/data/LZFQtIwwlQRivr,4.19.0-ipanema-g9ba5ed25b696,i44,283.35,5.3,7737.6606
5,77.19,33.23,sysbench 1.1.0,ULE-WWC scheduling policy,256,300.0936,mongo v3.6.3,ULE-WWC scheduling policy,/home/dc/i44/mongo/storage/169d64ecf26f618b5ca72e2f82bdeb61/data/FOP2OuaTTzx3WD,4.19.0-ipanema-g9ba5ed25b696,i44,2247.5,5.69,7701.0773
6,7.43,6.42,sysbench 1.1.0,Linux,32,300.0077,mongo v3.6.3,Linux,/home/dc/i44/mongo/storage/808a060ee7a489a8b14c4039b12d9b99/data/cgPB1zyb4qu0ec,4.19.0-ipanema-g9ba5ed25b696,i44,99.52,4.79,4982.3327
7,21.89,14.89,sysbench 1.1.0,Linux,128,300.0349,mongo v3.6.3,Linux,/home/dc/i44/mongo/storage/808a060ee7a489a8b14c4039b12d9b99/data/Cc85DRkotWUcpQ,4.19.0-ipanema-g9ba5ed25b696,i44,294.21,4.93,8593.2226
8,42.61,31.79,sysbench 1.1.0,Linux,256,300.0689,mongo v3.6.3,Linux,/home/dc/i44/mongo/storage/808a060ee7a489a8b14c4039b12d9b99/data/IXxkcO2RTNaVBW,4.19.0-ipanema-g9ba5ed25b696,i44,748.77,5.61,8049.4006
9,10.27,9.09,sysbench 1.1.0,Linux,64,300.0172,mongo v3.6.3,Linux,/home/dc/i44/mongo/storage/808a060ee7a489a8b14c4039b12d9b99/data/tlbLno5Nxol9zW,4.19.0-ipanema-g9ba5ed25b696,i44,102.65,4.83,7039.7567
10,9.56,8.9,sysbench 1.1.0,cfs scheduling policy,64,300.017,mongo v3.6.3,cfs scheduling policy,/home/dc/i44/mongo/storage/af08c8316971cfd7d9e8470542bf096f/data/ESp3okX4Q0Fd73,4.19.0-ipanema-g9ba5ed25b696,i44,152.05,4.95,7187.299
11,10.84,9.62,sysbench 1.1.0,cfs scheduling policy,64,300.018,mongo v3.6.3,cfs scheduling policy,/home/dc/i44/mongo/storage/af08c8316971cfd7d9e8470542bf096f/data/eVkFK9JpM3mzyH,4.19.0-ipanema-g9ba5ed25b696,i44,144.26,4.98,6649.1145
12,40.37,32.65,sysbench 1.1.0,cfs scheduling policy,256,300.1047,mongo v3.6.3,cfs scheduling policy,/home/dc/i44/mongo/storage/af08c8316971cfd7d9e8470542bf096f/data/C2ToTgH8s4wSiG,4.19.0-ipanema-g9ba5ed25b696,i44,794.68,6.65,7838.63
13,40.37,32.5,sysbench 1.1.0,cfs scheduling policy,256,300.0866,mongo v3.6.3,cfs scheduling policy,/home/dc/i44/mongo/storage/af08c8316971cfd7d9e8470542bf096f/data/6EErAYTEbZ61gG,4.19.0-ipanema-g9ba5ed25b696,i44,873.21,5.9,7873.6431
14,19.65,16.09,sysbench 1.1.0,cfs scheduling policy,128,300.0387,mongo v3.6.3,cfs scheduling policy,/home/dc/i44/mongo/storage/af08c8316971cfd7d9e8470542bf096f/data/pzS6StSnDmEqUf,4.19.0-ipanema-g9ba5ed25b696,i44,320.79,5.23,7955.2581
15,20.0,16.5,sysbench 1.1.0,cfs scheduling policy,128,300.0392,mongo v3.6.3,cfs scheduling policy,/home/dc/i44/mongo/storage/af08c8316971cfd7d9e8470542bf096f/data/QJPliE4iXdX0iw,4.19.0-ipanema-g9ba5ed25b696,i44,321.24,5.26,7754.6367
